ImageNr	ImageType	FileName	InfectionTime	ParticlesG	VirusesG	AreaMumG	ParticlesK	VirusesK	AreaMumK	ParticlesTot	VirusesTot
1	Virus	20170821_virus3  	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	Virus	20180119_virus4 	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	Virus	20180119_virus8 	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	Cell	20171025_amoeba1	-1	390	13	396.803726015	619	15	421.5528928400001	-1	3
5	Cell	20171025_amoeba5	-1	448	59	695.0354233300001	313	16	699.8427792699999	-1	5
6	Cell	20171115_amoeba2	-1	452	31	508.65073958	405	176	563.3913112450001	-1	19
7	Cell	20171115_amoeba4	-1	964	45	1103.1242926300001	817	364	1106.653076645	-1	35
8	Cell	20171115_amoeba5	-1	268	3	587.2820748649999	246	0	587.0233805600001	-1	0
9	Cell	20171207_amoeba2	0	339	54	379.93495763	250	55	382.13972593999995	-1	17
10	Cell	20171207_amoeba8	0	769	30	502.6908995800001	569	276	504.8837482099999	-1	21
11	Cell	20171207_amoeba12a	0	498	19	428.919813815	517	249	442.63079822500004	-1	15
12	Cell	20171207_amoeba12b	0	405	24	316.386487425	297	86	312.49378067999993	-1	14
13	Cell	20171207_amoeba12c	0	480	16	351.69611824000003	463	57	799.7228066050001	-1	9
14	Cell	20171211_amoeba6	6	613	8	460.019748895	664	207	460.3810641950002	-1	7
15	Cell	20180117_amoeba2	6	733	20	713.6630894950001	501	102	748.15771219	-1	8
16	Cell	20180117_amoeba3	6	661	7	439.76560514500005	451	40	551.790855175	-1	3
17	Cell	20180117_amoeba5	6	807	21	426.0626292700001	506	169	720.09133567	-1	12
18	Cell	20180117_amoeba6	6	1018	53	577.5280517250002	748	120	657.169766135	-1	18
19	Cell	20180118_amoeba3	6	1226	25	692.3628075800002	643	26	703.582020135	-1	4
20	Cell	20180123_amoeba4	9	495	5	268.30603696	296	31	262.95149321	-1	5
21	Cell	20180123_amoeba6	9	700	46	488.0710395699999	495	85	507.2403061950002	-1	13
22	Cell	20180126_amoeba6	9	731	9	394.88018765499993	317	106	393.418536895	-1	5
23	Cell	20180126_amoeba9	9	807	33	570.7453813149998	371	62	595.16377702	-1	10
24	Cell	20180126_amoeba10	9	1615	31	982.695854445	1160	156	978.67426616	-1	10
25	Cell	20180110_amoeba22	12	681	131	380.55515348000006	668	392	378.3453565550001	-1	101
26	Cell	20180110_amoeba24	12	766	73	366.20274129	792	160	383.58889828499997	-1	38
27	Cell	20180110_amoeba25	12	927	57	459.89999336	1103	168	470.32710593	-1	21
28	Cell	20180125_amoeba9	12	922	46	497.359636455	931	469	773.311030665	-1	29
29	Cell	20180125_amoeba10	12	634	42	458.2632722999999	375	280	446.0789381550001	-1	37
30	Cell	20180125_amoeba11	12	630	65	537.220908825	327	174	533.986205665	-1	49
31	Cell	20180118_amoeba2	15	1003	36	485.73180237000014	796	134	569.6947732699999	-1	18
32	Cell	20180118_amoeba4a	15	1090	92	548.6412659800002	740	360	660.664094825	-1	61
33	Cell	20180118_amoeba4b	15	737	36	336.7905584	499	172	355.90544148500004	-1	22
34	Cell	20180118_amoeba5	15	1196	47	616.6175248149999	726	217	701.7530942349999	-1	28
35	Cell	20180118_amoeba7	15	1069	61	717.6211682349999	742	303	741.80862014	-1	39
36	Cell	20180118_amoeba8	15	942	76	613.81695875	699	381	609.49756471	-1	66
37	Cell	20171212_amoeba8	18	782	50	384.14372213999997	812	350	390.9627103250001	-1	33
38	Cell	20171212_amoeba9	18	433	38	209.80015012999996	260	177	208.527165555	-1	28
39	Cell	20171221_amoeba4	18	792	79	486.1616558299999	787	463	524.2716664650001	-1	63
40	Cell	20171221_amoeba7a	18	1056	77	505.6490289150001	967	546	518.73739629	-1	65
41	Cell	20171221_amoeba7b	18	653	54	368.46245187500006	488	400	332.12232747499996	-1	48
42	Cell	20171114_amoeba3	24	1211	126	696.8717990299999	1039	617	685.2491798050002	-1	111
43	Cell	20171114_amoeba12	24	543	97	362.567425135	820	547	741.5650116800001	-1	88
44	Cell	20171208_amoeba7	24	986	64	476.987413375	1308	90	491.84007963499994	-1	15
45	Cell	20171208_amoeba8	24	1141	230	760.55045449	1103	472	770.0225027	-1	159
46	Cell	20171208_amoeba10	24	992	116	601.6272235	999	729	782.4938403899998	-1	103
47	Cell	20171107_amoeba1	48	855	145	441.40660984000004	753	509	444.34630092000003	-1	128
48	Cell	20171107_amoeba4	48	1249	191	759.77306786	928	598	762.2648397150001	-1	167
49	Cell	20171107_amoeba5	48	953	223	741.2815467900002	863	496	769.1048735850001	-1	198
50	Cell	20180119_amoeba6	64	782	13	221.17971963	667	46	215.86037618499998	-1	2
51	Cell	20180119_amoeba7	64	1132	48	390.101885935	842	408	429.1341818099999	-1	36
52	Cell	20180119_amoeba8	64	1445	59	466.583022695	741	537	479.7717761249999	-1	54
